Career Cluster,Career Pathway,Occupation Title,Artistic,Conventional,Enterprising,Investigative,Realistic,Social,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism,Less than a High School Diploma,High School Diploma,Post-Secondary Certificate - Award,Some College Courses,Associate's Degree (or other 2-year degree),Bachelor's Degree,Post-Baccalaureate Certificate - Award,Master's Degree,Post-Master's Certificate - Award,First Professional Degree - Award,Doctoral Degree,Post-Doctoral Training
Health Science,Therapeutic Services,Dental Hygienists,1.18,4.29,1.67,4.68,5.14,5.46,0.133978591,0.12808653,0.142564674,0.05587868,-0.105258698,0,0,0,0,75.18,3.08,9,0,0,12.74,0,0
Manufacturing,Production,Dental Laboratory Technicians,1.45,4.22,1,4.47,6.68,2.67,0.127628111,0.118081991,0.104250854,0.038033187,-0.098506589,13.23,51.74,18.16,7.43,1.89,1.87,0,5.68,0,0,0,0
Health Science,Therapeutic Services,"Dentists, General",1.15,3.85,1.95,5.4,5.31,4.27,0.139174647,0.125253078,0.13370269,0.046370269,-0.105604195,0,0,0,7.17,5.62,0,0,5.77,0,0,81.44,0
Health Science,Therapeutic Services,Dermatologists,1.76,3.65,1.76,6.29,5.55,4.29,0.155450644,0.116909871,0.126515021,0.045630901,-0.101416309,0,0,0.74,0,6.11,0,0,4.71,0,1.49,56.38,30.57
Architecture & Construction,Construction,"Derrick Operators, Oil and Gas",1,3.64,1.64,2.54,7,1.01,0.100433749,0.123036245,0.103559121,0.020350564,-0.102840166,68.54,22.91,4.94,0,3.6,0,0,0,0,0,0,0
"Arts, Audio/Video Technology & Communications",Printing Technology,Desktop Publishers,4.7,5.32,1.87,2.75,3.36,1.79,0.162607377,0.112268823,0.1253714,0.026877211,-0.081814047,0,44.3,4.86,1,11.14,38.7,0,0,0,0,0,0
"Law, Public Safety, Corrections & Security",Law Enforcement Services,Detectives and Criminal Investigators,1.2,4.83,4.04,4.9,4.18,2.73,0.12035649,0.142815356,0.152436015,0.026581353,-0.112531993,0,32.48,19.72,17.86,19.95,10,0,0,0,0,0,0
Health Science,Diagnostic Services,Diagnostic Medical Sonographers,1.17,5.14,1.51,4.71,5.96,4.15,0.119973498,0.129827739,0.124787986,0.046360424,-0.103467314,0,0,19.34,0,47.13,16.83,0,0,0,16.7,0,0
Health Science,Therapeutic Services,Dietetic Technicians,2.45,3.68,2.46,3.46,3.84,5.34,0.154649081,0.123085257,0.164168629,0.052731983,-0.101610928,9.69,7.54,26.85,14.64,34.57,6.71,0,0,0,0,0,0
Health Science,Therapeutic Services,Dietitians and Nutritionists,2.4,3.36,3.42,4.8,3.03,5.5,0.165330964,0.125788538,0.173487339,0.049075966,-0.105766326,0,0,0,0,3.33,10,53.33,33.33,0,0,0,0
Hospitality & Tourism,Restaurants and Food/Beverage Services,Dining Room and Cafeteria Attendants and Bartender Helpers,1.02,4.6,2.27,1,5.61,3.67,0.088827738,0.140792515,0.154265272,0.042526142,-0.108547056,22.43,74.01,2.49,0,1.07,0,0,0,0,0,0,0
Human Services,Family & Community Services,"Directors, Religious Activities and Education",3.43,3.22,6.05,2.84,1,6.98,0.171687925,0.135948129,0.229778912,0.047993197,-0.111585884,0,0.91,21.13,0.28,14.36,53.58,0.55,9.2,0,0,0,0
Hospitality & Tourism,Restaurants and Food/Beverage Services,Dishwashers,1,4.45,1.42,1,6.98,1.84,0.078268424,0.131378071,0.115506291,0.029568604,-0.102672259,29.91,69.87,0,0.22,0,0,0,0,0,0,0,0
"Transportation, Distribution & Logistics",Logistics Planning and Management Services,"Dispatchers, Except Police, Fire, and Ambulance",1,5.39,2.9,1.42,5.28,2.68,0.079126942,0.148971612,0.150765935,0.030707017,-0.110423139,5.04,47.36,7.05,25.63,7.9,7.01,0,0,0,0,0,0
Information Technology,Information Support and Services,Document Management Specialists,1.85,6.75,3.02,3.81,1.67,2.39,0.106300667,0.15545921,0.148984094,0.030513084,-0.105007696,0,5,0,0,10,60,10,15,0,0,0,0
Marketing,Professional Sales,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",2.02,4.72,5.5,1,3.57,2.76,0.104006132,0.152667348,0.198426162,0.018748084,-0.115728155,56.52,43.48,0,0,0,0,0,0,0,0,0,0
Architecture & Construction,Construction,Dredge Operators,1,3.48,2.33,2.99,6.63,1.36,0.108650927,0.126059584,0.119179314,0.020556492,-0.106571107,7.18,79.97,8.58,4.27,0,0,0,0,0,0,0,0
Manufacturing,Production,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",1,4.27,1,2.75,7,1,0.095199765,0.123678026,0.090135135,0.024124559,-0.099412456,9.76,56.88,1.94,12.19,12.11,7.12,0,0,0,0,0,0
Marketing,Professional Sales,Driver/Sales Workers,1,4.42,3.44,1,5.65,2.46,0.083628269,0.145637173,0.16096828,0.025358932,-0.113288815,35.54,64.02,0.44,0,0,0,0,0,0,0,0,0
Architecture & Construction,Construction,Drywall and Ceiling Tile Installers,2.3,3.12,1,1.95,7,1.18,0.131782477,0.102954683,0.097697885,0.024126888,-0.090187311,41.87,24.36,19.3,9.65,0,4.82,0,0,0,0,0,0
Architecture & Construction,Construction,"Earth Drillers, Except Oil and Gas",1.14,3.69,1.7,3.58,7,1.18,0.113772553,0.120563149,0.102285402,0.022126845,-0.102176052,15.07,72.77,12.15,0,0,0,0,0,0,0,0,0
Education & Training,Teaching/Training,"Economics Teachers, Postsecondary",3.06,3.88,3.39,5.53,2.71,6.22,0.17321904,0.123388463,0.171012505,0.051815248,-0.10251311,0,0,0,0,0,2.15,0,7.37,9.68,0,80.8,0
"Science, Technology, Engineering & Mathematics",Science and Mathematics,Economists,2.49,4.34,3.8,7,1.54,2.22,0.166657317,0.131972885,0.146746143,0.025072464,-0.104095372,0,0,0,0,0,20.83,0,50,0,0,25,4.17
"Arts, Audio/Video Technology & Communications",Journalism and Broadcasting,Editors,5.16,4.85,4.03,3.11,1,2.51,0.1807212,0.121844143,0.170343659,0.023969022,-0.090014521,0,0,0,0,0,80.43,1.27,17.03,1.27,0,0,0
Education & Training,Administration and Administrative Support,"Education Administrators, Kindergarten through Secondary",2.95,4.48,5.17,3.32,1.18,5.87,0.153582934,0.141680453,0.207622987,0.044784502,-0.109956465,0,9.13,0,0,0,6.59,0.31,37.06,43.56,3.22,0.14,0
Education & Training,Administration and Administrative Support,"Education Administrators, Postsecondary",2.91,4.67,5.19,4,1,5.8,0.154951209,0.142036487,0.202783199,0.04403479,-0.109923632,0,0,0,0,0,7.62,0,47.94,0,0,37.24,7.2
Education & Training,Teaching/Training,"Education Teachers, Postsecondary",3.52,3.54,2.63,4.91,2.69,7,0.183487032,0.116418279,0.171823796,0.060168794,-0.098118567,0,0,0,0,0,0.63,0,9.41,0.1,0,89.76,0.1
Education & Training,Administration and Administrative Support,"Education and Childcare Administrators, Preschool and Daycare",2.88,4.28,4.76,3.03,1.08,6.6,0.1559346,0.140499337,0.2117057,0.052129916,-0.109491825,0,25.65,6.18,19.7,31.95,10.33,5.97,0.22,0,0,0,0
Education & Training,Professional Support Services,"Educational, Guidance, and Career Counselors and Advisors",3.42,3.38,4.21,3.31,1,7,0.178561828,0.128947133,0.209767025,0.057356631,-0.104861111,0,0,0,0,2.51,56.31,0,40.69,0.5,0,0,0
Manufacturing,"Maintenance, Installation & Repair","Electric Motor, Power Tool, and Related Repairers",1,4.09,1.06,2.78,7,1.14,0.098447569,0.122677211,0.093063855,0.025102519,-0.099894552,1.86,30.93,39.17,8.28,19.77,0,0,0,0,0,0,0
"Science, Technology, Engineering & Mathematics",Engineering and Technology,Electrical Engineers,2.01,5.01,2.31,5.31,6.35,1.57,0.129197695,0.123523936,0.109441489,0.023484043,-0.09991578,0,0,0,0,11.04,81.62,0,7.34,0,0,0,0
Architecture & Construction,Maintenance/Operations,Electrical Power-Line Installers and Repairers,1,3.67,1.72,2.63,7,1.19,0.101894248,0.123608367,0.106717025,0.021772225,-0.103404997,18.08,50.29,18.88,9.94,0,0,0,0,0,2.81,0,0
Manufacturing,Production,Electrical and Electronic Equipment Assemblers,1.82,4.3,1,3.33,7,1.24,0.11870519,0.11529695,0.091947566,0.025826645,-0.094456929,25.46,54.69,8.2,11.65,0,0,0,0,0,0,0,0
Manufacturing,Manufacturing Production Process Development,Electrical and Electronics Drafters,3.28,5.31,1.92,3.55,5.54,1.32,0.136285851,0.117820268,0.11042543,0.02248566,-0.090707457,0,6.1,21.07,6.74,23.56,40.08,0,2.46,0,0,0,0
"Transportation, Distribution & Logistics",Facility and Mobile Equipment Maintenance,"Electrical and Electronics Installers and Repairers, Transportation Equipment",1,4.81,1.02,3.37,7,1.16,0.09622549,0.126416122,0.090070806,0.02583878,-0.099727669,0,28.33,47.69,0,9.63,0,14.35,0,0,0,0,0
Manufacturing,"Maintenance, Installation & Repair","Electrical and Electronics Repairers, Commercial and Industrial Equipment",1,5.34,1.11,4.03,7,1,0.096042094,0.128947639,0.087433265,0.024301848,-0.099994867,0,22.02,32.27,0,45.71,0,0,0,0,0,0,0
Manufacturing,"Maintenance, Installation & Repair","Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",1,5.27,1.3,3.52,7,1.07,0.092181628,0.130448852,0.093001044,0.023799582,-0.100960334,0,8.18,50.33,11.19,27.91,2.39,0,0,0,0,0,0
Architecture & Construction,Construction,Electricians,1.28,4.22,1.85,2.67,7,1.26,0.101952954,0.125388403,0.108730853,0.021849015,-0.102084245,2.31,30.58,61.71,2.31,1.79,0,0,0,0,1.31,0,0
Manufacturing,Manufacturing Production Process Development,Electro-Mechanical and Mechatronics Technologists and Technicians,1.38,4.58,1,4.38,7,1,0.115046536,0.119451913,0.085294726,0.024436401,-0.097125129,0.97,9.86,31.72,7.33,29.83,10.97,0,5.59,0,0,3.72,0
Manufacturing,Production,Electromechanical Equipment Assemblers,1.41,4.98,1,3.35,7,1.06,0.102042553,0.123606383,0.088968085,0.024755319,-0.096914894,0,52.73,10.77,16.88,19.04,0,0,0,0,0,0.58,0
"Transportation, Distribution & Logistics",Facility and Mobile Equipment Maintenance,"Electronic Equipment Installers and Repairers, Motor Vehicles",1,4.55,1,3.54,7,1.2,0.101077091,0.124226353,0.089786769,0.026282121,-0.099671952,2.39,44.78,47.4,1.12,4.31,0,0,0,0,0,0,0
"Science, Technology, Engineering & Mathematics",Engineering and Technology,"Electronics Engineers, Except Computer",2.03,4.68,1.62,5.8,6.23,1.59,0.138036446,0.117981777,0.099225513,0.026683371,-0.096993166,0,0,0,0,13.81,83.3,0,2.89,0,0,0,0
Education & Training,Teaching/Training,"Elementary School Teachers, Except Special Education",3.99,3.53,2.57,3.38,2.55,7,0.184126846,0.114730669,0.180208514,0.061807124,-0.095330148,0,0,0,0,0,78.17,0,21.83,0,0,0,0
Architecture & Construction,Maintenance/Operations,Elevator and Escalator Installers and Repairers,1.06,3.78,1.17,2.42,7,1.38,0.101017252,0.121154075,0.099886972,0.026585366,-0.100339084,0,47.49,47.14,0.49,4.54,0.34,0,0,0,0,0,0
Government & Public Administration,Public Management and Administration,"Eligibility Interviewers, Government Programs",1,6.35,3.93,2.46,1,4.44,0.091115746,0.17052659,0.193925965,0.044462982,-0.11681439,0,25.6,0,19.44,23.58,24.22,0,7.15,0,0,0,0
Human Services,Personal Care Services,Embalmers,1.69,3.74,2.65,2.5,5.84,3.43,0.123788413,0.126609572,0.148287154,0.036710327,-0.105254408,0,0,0,0,86.37,13.63,0,0,0,0,0,0
Government & Public Administration,Public Management and Administration,Emergency Management Directors,1.78,4.66,4.99,4.56,3.6,4,0.132077151,0.142272149,0.175298855,0.031415854,-0.113374311,0,4.55,0,9.09,4.55,59.09,9.09,13.64,0,0,0,0
Health Science,Support Services,Endoscopy Technicians,1,4.92,1.05,4.11,6.32,3.29,0.111880135,0.128129531,0.112619623,0.043291445,-0.101947801,0,53.85,30.77,3.85,11.54,0,0,0,0,0,0,0
Business Management & Administration,Operations Management,Energy Auditors,1,5.93,3.34,4.17,4.53,1.89,0.096711409,0.148868648,0.136433365,0.023183126,-0.110469799,6.9,34.48,31.03,0,3.45,20.69,0,3.45,0,0,0,0
"Science, Technology, Engineering & Mathematics",Engineering and Technology,"Energy Engineers, Except Wind and Solar",2.05,4.42,3.06,4.67,5.26,2.24,0.134894009,0.126976959,0.132654378,0.025677419,-0.103419355,0,0,9.09,0,4.55,50,13.64,13.64,0,4.55,4.55,0
Manufacturing,Production,Engine and Other Machine Assemblers,1.27,4.47,1.06,2.85,7,1,0.099790368,0.122589235,0.091070822,0.023688385,-0.097903683,11.15,64.05,12.88,4.72,0,0,0,7.2,0,0,0,0
Education & Training,Teaching/Training,"Engineering Teachers, Postsecondary",3.16,3.44,2,5.39,4.84,5.76,0.175241968,0.110398536,0.145738105,0.052838552,-0.096583977,0,0,0,0,0,0.82,0.82,5.09,17.34,0,58.61,17.34
Education & Training,Teaching/Training,"English Language and Literature Teachers, Postsecondary",4.19,3.55,2.41,4.76,2.35,7,0.193256389,0.111751855,0.170643034,0.06084089,-0.093985985,9.61,0,0,0,0,0,0,30.42,1.26,0,58.38,0.32
Government & Public Administration,Governance,Environmental Compliance Inspectors,1.05,5.84,3.21,4.77,4.57,2.35,0.105470399,0.14540615,0.13553006,0.027365764,-0.109632859,0,10,0,0,15,75,0,0,0,0,0,0
"Science, Technology, Engineering & Mathematics",Science and Mathematics,Environmental Economists,2.53,4.08,4.11,7,2.74,2.28,0.164815303,0.128227792,0.145831135,0.023333333,-0.104920844,0,0,0,0,0,11.11,0,40.74,0,0,44.44,3.7
"Agriculture, Food & Natural Resources",Environmental Service Systems,Environmental Engineering Technologists and Technicians,1.73,5.08,1.25,5.91,6.21,1.5,0.130106089,0.120853321,0.09224631,0.027979705,-0.096997232,0,10.79,8.19,6.64,1.46,67.31,4.74,0.88,0,0,0,0
"Agriculture, Food & Natural Resources",Environmental Service Systems,Environmental Engineers,2.04,4.29,3.1,6.11,5.15,2.21,0.145371179,0.124462882,0.12720524,0.025624454,-0.103423581,0,0,0,0,4.76,61.9,4.76,28.57,0,0,0,0
"Science, Technology, Engineering & Mathematics",Science and Mathematics,Environmental Restoration Planners,2.24,4.13,3.63,6.25,5.31,2.12,0.148868243,0.123686655,0.131849662,0.022618243,-0.104235642,0,0,0,0,0,50,9.09,40.91,0,0,0,0
Education & Training,Teaching/Training,"Environmental Science Teachers, Postsecondary",3.4,3.58,2.36,6.25,3.76,6.28,0.183168162,0.112614124,0.152660944,0.054408896,-0.097268826,0,0,0,0,0,0,0,17.5,0.34,0,52.49,29.67
"Agriculture, Food & Natural Resources",Environmental Service Systems,"Environmental Science and Protection Technicians, Including Health",1.13,4.91,1.47,5.57,5.53,2.07,0.12233559,0.12823501,0.103955513,0.032466151,-0.10184236,0,4.55,4.55,0,22.73,68.18,0,0,0,0,0,0
"Science, Technology, Engineering & Mathematics",Science and Mathematics,"Environmental Scientists and Specialists, Including Health",1.79,4.44,2.58,7,4.7,2.62,0.148586252,0.12484652,0.121923908,0.031357544,-0.103017726,0,21.32,0,0.76,0,47.49,12.66,13.78,0,0,3.99,0
Health Science,Diagnostic Services,Epidemiologists,2.02,3.67,2.48,7,3.18,4.03,0.168418231,0.122368186,0.139369973,0.04308311,-0.102743521,0,0,0,0,0,0,0,66.67,0,0,11.11,22.22
Government & Public Administration,Governance,Equal Opportunity Representatives and Officers,1.73,5.21,5.37,3.01,1.23,4.24,0.11964406,0.158999519,0.205036075,0.033953824,-0.117340067,0,0,0,14.07,0,65.76,4.44,11.87,1.09,2.77,0,0
Manufacturing,Production,Etchers and Engravers,3.26,3.58,1,2.53,6.82,1.3,0.149378042,0.098761493,0.097712277,0.024937804,-0.085116279,32.66,53.86,0.75,0,12.72,0,0,0,0,0,0,0
Architecture & Construction,Construction,"Excavating and Loading Machine and Dragline Operators, Surface Mining",1,3.55,1,2.4,7,1,0.100407524,0.118714734,0.091912226,0.023730408,-0.099373041,23.17,71.12,5.71,0,0,0,0,0,0,0,0,0
Business Management & Administration,Administrative Support,Executive Secretaries and Executive Administrative Assistants,1.38,6.39,5.56,1.9,1.26,3.98,0.090322423,0.172364436,0.209272106,0.031367855,-0.12024426,0,24.2,1.27,20.91,33.77,11.87,0,1.72,3.38,2.88,0,0
Health Science,Therapeutic Services,Exercise Physiologists,1.68,3.52,3.07,4.87,5.06,4.82,0.146815812,0.125564726,0.154986968,0.044309296,-0.107432667,0,0,0,0,0,59.09,0,31.82,0,0,9.09,0
Human Services,Personal Care Services,Exercise Trainers and Group Fitness Instructors,2.6,2.75,3.4,2.86,4.98,5.65,0.15846223,0.11897482,0.177000899,0.048543165,-0.104811151,0,14.29,57.14,4.76,9.52,9.52,0,4.76,0,0,0,0
Architecture & Construction,Construction,"Explosives Workers, Ordnance Handling Experts, and Blasters",1.25,4.18,1.82,3.77,6.89,1.3,0.112326913,0.12355544,0.104622592,0.022878709,-0.102071838,4.17,62.5,20.83,8.33,4.17,0,0,0,0,0,0,0
Manufacturing,Production,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",1.43,4.31,1,2.23,6.69,1.09,0.099641791,0.12159403,0.094597015,0.024746269,-0.096429851,3.64,84.69,11.22,0,0,0,0,0,0,0,0.45,0
Manufacturing,Production,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",1.27,4.05,1.41,2.21,6.5,1.22,0.099735894,0.124351741,0.104819928,0.02392557,-0.099933974,19.43,74.09,6.48,0,0,0,0,0,0,0,0,0
Manufacturing,Production,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",1.28,4.3,1.25,2.23,6.54,1.04,0.09609976,0.124981971,0.099050481,0.023088942,-0.098780048,0.72,78.21,9.07,7.77,0.33,0,0,0,0,3.9,0,0
Manufacturing,Production,Fabric and Apparel Patternmakers,5.46,4.31,1.5,1.28,5.52,1.37,0.17191358,0.093323045,0.115447531,0.022263374,-0.074650206,2.86,40.66,11.53,18.58,0,26.36,0,0,0,0,0,0
Business Management & Administration,Operations Management,Facilities Managers,1.64,5.41,5.54,2.52,3.93,3.59,0.105735749,0.152801591,0.186933274,0.025978789,-0.116509059,0,14.59,9.36,11.3,57.34,7.06,0.18,0.18,0,0,0,0
"Agriculture, Food & Natural Resources",Natural Resources Systems,Fallers,1.13,3.32,1.57,2.48,7,1.92,0.111234214,0.119500574,0.113846154,0.029288175,-0.102531573,55.82,44.18,0,0,0,0,0,0,0,0,0,0
Health Science,Therapeutic Services,Family Medicine Physicians,1.45,3.95,2.34,6.08,3.75,6.21,0.153675357,0.128124474,0.155273339,0.057569386,-0.106761985,0,0,0,0.31,0,2.25,0,9.48,0,0,59.06,28.89
Education & Training,Teaching/Training,"Family and Consumer Sciences Teachers, Postsecondary",3.44,3.53,2.71,4.91,3.02,7,0.180950833,0.11661926,0.171068671,0.059248273,-0.098825681,0,0,1.9,0.96,0,3.66,7.89,36.45,0,0.32,48.02,0.8
"Agriculture, Food & Natural Resources","Power, Structural & Technical Systems",Farm Equipment Mechanics and Service Technicians,1,4.1,1.01,3.12,7,1.35,0.102957907,0.121928328,0.093526735,0.027440273,-0.099880546,4.69,41.7,34.25,8.39,8.33,0,0,0,0,2.63,0,0
"Agriculture, Food & Natural Resources",Agribusiness Systems,Farm Labor Contractors,1,4.39,4.99,1.54,4.85,3.24,0.094002999,0.152153923,0.187491254,0.025122439,-0.119685157,48,42.83,0,8.9,0.14,0,0,0.14,0,0,0,0
Education & Training,Teaching/Training,Farm and Home Management Educators,2.31,3.18,3.49,4.28,3.96,4.83,0.159002268,0.124154195,0.168866213,0.04353288,-0.106054422,3.7,0,3.7,0,0,14.81,3.7,70.37,0,0,3.7,0
"Agriculture, Food & Natural Resources",Plant Systems,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",1.29,3.35,2.37,2.32,7,1.85,0.111391639,0.122865787,0.126771177,0.024125413,-0.105253025,38.96,28.54,0.32,5.32,2,15.33,1.47,5.12,0,2.95,0,0
"Agriculture, Food & Natural Resources",Animal Systems,"Farmworkers, Farm, Ranch, and Aquacultural Animals",1.42,2.95,1.92,2.66,6.78,2.5,0.125732309,0.116725178,0.126461876,0.032413604,-0.102874383,18,24.97,8.47,39.39,8.94,0.23,0,0,0,0,0,0
"Arts, Audio/Video Technology & Communications",Visual Arts,Fashion Designers,7,2.91,3.97,2.17,4.32,2.33,0.21114978,0.090374449,0.158180617,0.018960352,-0.080788546,0.63,3.62,0,1.07,44.02,50.67,0,0,0,0,0,0
Hospitality & Tourism,Restaurants and Food/Beverage Services,Fast Food and Counter Workers,1.41,4.86,3.52,1,4.91,3.51,0.093633524,0.146220718,0.171868818,0.034331078,-0.111337845,53.6,26.77,3.21,15.48,0.61,0,0,0,0,0,0.33,0
Architecture & Construction,Construction,Fence Erectors,1.39,3.66,1,2.13,7,1.35,0.1069268,0.116315789,0.097888687,0.026866304,-0.096987296,29.4,47.51,1.01,22.07,0,0,0,0,0,0,0,0
Manufacturing,Production,Fiberglass Laminators and Fabricators,2.22,3.49,1.15,2.03,6.74,1,0.125243536,0.108177992,0.098340349,0.021930247,-0.091407096,42.54,45.8,0,11.02,0,0.63,0,0,0,0,0,0
Business Management & Administration,Administrative Support,File Clerks,1.15,7,1.66,1.38,2.53,1.92,0.056585678,0.166790281,0.134584399,0.034322251,-0.103184143,7.11,40.08,10.59,4.97,10.36,1.25,0,25.13,0,0,0,0.51
"Arts, Audio/Video Technology & Communications",Journalism and Broadcasting,Film and Video Editors,5.45,3.99,2.98,1.97,3.27,1.87,0.185038402,0.103937532,0.149006656,0.021131592,-0.082160778,0,16.28,0,1.18,16.85,65.1,0,0.59,0,0,0,0
Government & Public Administration,Governance,Financial Examiners,1,6.16,4.71,3.54,1,2.7,0.094740973,0.170894819,0.184045003,0.025866039,-0.118728414,0,0,0,0,0,86.96,8.7,4.35,0,0,0,0
Finance,Business Finance,Financial Managers,1.54,5.7,7,2.45,1.22,2.93,0.099928023,0.171535509,0.217178503,0.016257198,-0.124174664,0,14.24,0,4.56,3.9,56.31,21,0,0,0,0,0
Finance,Securities & Investments,Financial Quantitative Analysts,1.82,5.88,3.42,6.6,1.76,1.61,0.134153627,0.144992888,0.134675202,0.022603129,-0.105765766,0,0,0,0,0,35,0,60,0,0,5,0
"Arts, Audio/Video Technology & Communications",Visual Arts,"Fine Artists, Including Painters, Sculptors, and Illustrators",7,2.34,2.37,2.68,4.06,2.27,0.232741313,0.076105212,0.138774131,0.025415058,-0.071944981,0,27.33,0.26,37.03,0,35.12,0,0,0,0.26,0,0
"Law, Public Safety, Corrections & Security",Emergency and Fire Management Services,Fire Inspectors and Investigators,1.03,5.18,3.3,4.35,5.44,2.59,0.108126999,0.140634993,0.138497031,0.027944267,-0.110287803,6.8,22.64,27.49,26.01,12.82,1.63,0.56,2.04,0,0,0,0
"Science, Technology, Engineering & Mathematics",Engineering and Technology,Fire-Prevention and Protection Engineers,1.51,4.27,2.82,5.28,6.08,2.96,0.132465096,0.126439791,0.130152705,0.031736475,-0.105750436,0,0,5,0,0,85,5,5,0,0,0,0
"Law, Public Safety, Corrections & Security",Emergency and Fire Management Services,Firefighters,1.3,3.46,3.01,2.91,6.52,3.4,0.121199029,0.127305825,0.148349515,0.034203883,-0.108878641,9.36,35.89,24.6,19.5,7.15,0.43,0,0,0,2.96,0.1,0
Architecture & Construction,Construction,First-Line Supervisors of Construction Trades and Extraction Workers,1,4.98,5.89,1.99,4.97,2.81,0.090157116,0.15633549,0.187287431,0.018040665,-0.121548059,21.95,20.79,27.04,7.84,11.88,10.49,0,0,0,0,0,0
"Law, Public Safety, Corrections & Security",Correction Services,First-Line Supervisors of Correctional Officers,1,5.01,6.42,1.81,3.47,4.58,0.096962764,0.162229699,0.213364738,0.030062808,-0.124647824,0,58.99,5.15,2.28,22.88,10.69,0,0,0,0,0,0
"Agriculture, Food & Natural Resources",Food Products and Processing Systems,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",1,4.65,6.01,2.23,5.54,2.88,0.095212909,0.152290453,0.185002241,0.017852981,-0.121447781,9.72,31.52,13.7,6.1,4.06,32.89,0,2.01,0,0,0,0
"Law, Public Safety, Corrections & Security",Emergency and Fire Management Services,First-Line Supervisors of Firefighting and Prevention Workers,1,4.67,6.15,2.25,5.14,3.72,0.098901003,0.153353685,0.193257741,0.023781073,-0.122150022,3.05,29.25,18.72,11.76,23.84,9.55,3.69,0.02,0,0,0,0.12
Hospitality & Tourism,Restaurants and Food/Beverage Services,First-Line Supervisors of Food Preparation and Serving Workers,1.01,5.47,6.35,1.01,4.16,3.21,0.079212636,0.165648279,0.204809052,0.019401226,-0.124257426,37.36,43.58,9.69,2.09,7.28,0,0,0,0,0,0,0
Hospitality & Tourism,"Recreation, Amusements & Attractions",First-Line Supervisors of Gambling Services Workers,1,5.5,5.93,1,3.7,3.02,0.077344913,0.167305211,0.20325062,0.019885856,-0.123528536,6.09,47.7,11.93,17.22,10.6,6.45,0,0,0,0,0,0
"Transportation, Distribution & Logistics",Transportation Operations,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",1,5.01,5.9,1.24,4.09,3.54,0.086953802,0.161626564,0.20346487,0.023965351,-0.123185756,0,35.2,21.34,30.77,4.16,8.52,0,0,0,0,0,0
Hospitality & Tourism,Lodging,First-Line Supervisors of Housekeeping and Janitorial Workers,1,5.14,5.72,1.18,4.25,3.55,0.085139155,0.161161228,0.200206334,0.024769674,-0.122351248,3.07,43.26,7.78,19.19,14.45,12.25,0,0,0,0,0,0
Architecture & Construction,Maintenance/Operations,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",1.03,5.21,6.11,1.78,4.5,2.99,0.087775208,0.159995375,0.194056429,0.018751156,-0.122483811,4.22,19.95,13.23,10.38,13.55,32.32,0,0,6.34,0,0,0
"Transportation, Distribution & Logistics",Transportation Operations,First-Line Supervisors of Material-Moving Machine and Vehicle Operators,1,4.9,5.01,1.8,4.98,2.39,0.087071713,0.154307769,0.176802789,0.01813745,-0.118859562,0,29.86,2.56,28.79,13.57,25.22,0,0,0,0,0,0
Manufacturing,"Maintenance, Installation & Repair","First-Line Supervisors of Mechanics, Installers, and Repairers",1,4.84,5.75,1.88,4.46,3.41,0.093542643,0.156968135,0.194311153,0.023505155,-0.121822868,3.05,54.15,13.08,16.91,3.2,7.57,0,0,0,0,2.05,0
Marketing,Professional Sales,First-Line Supervisors of Non-Retail Sales Workers,1,5.33,7,1.03,1.9,4.05,0.085356967,0.176006893,0.234800591,0.024583949,-0.129098966,0,16,0,16.49,9.58,44.97,0,12.96,0,0,0,0
Business Management & Administration,Administrative Support,First-Line Supervisors of Office and Administrative Support Workers,1,5.68,6.96,1.35,1.61,4.33,0.086531295,0.176698519,0.232451027,0.027353082,-0.128332537,0,23.18,0.62,20.03,9.62,45.22,0,1.33,0,0,0,0
Human Services,Personal Care Services,First-Line Supervisors of Personal Service Workers,1.29,4.98,6.75,1.08,3.37,4.02,0.093750582,0.163852955,0.21969288,0.024183341,-0.124806887,3.02,14.93,0,23.89,47.77,7.54,0,2.85,0,0,0,0
"Law, Public Safety, Corrections & Security",Law Enforcement Services,First-Line Supervisors of Police and Detectives,1.1,5.17,7,2.3,3.31,3.87,0.098171429,0.163485714,0.21123956,0.022571429,-0.125292308,0,56.42,0.92,19.62,3.62,19.42,0,0,0,0,0,0
Manufacturing,Production,First-Line Supervisors of Production and Operating Workers,1,5.34,6.17,1.52,4.33,2.87,0.083146491,0.162760245,0.196674517,0.017545926,-0.123207725,14.17,32.83,11.6,14.96,13.62,11.96,0,0.86,0,0,0,0
